Nombre,Direccion,Latitud,Longitud
hiruela-la,"La Hiruela, Comunidad de Madrid, España",41.0779223,-3.4552928
horcajo-de-la-sierra-aoslos,"Horcajo de la Sierra-Aoslos, Comunidad de Madrid, 28755, España",41.078683,-3.583901523172418
horcajuelo-de-la-sierra,"Horcajuelo de la Sierra, Comunidad de Madrid, España",41.0601151,-3.5457391
hoyo-de-manzanares,"Hoyo de Manzanares, Comunidad de Madrid, España",40.6227334,-3.9072054
humanes-de-madrid,"Humanes de Madrid, Comunidad de Madrid, España",40.2508847,-3.8270997
leganes,"Leganes, Iloilo, Western Visayas, 5003, Pilipinas",10.785528,122.5888137
loeches,"Loeches, Comunidad de Madrid, 28890, España",40.3837901,-3.4092281
lozoya,"Lozoya, Comunidad de Madrid, 28742, España",40.9513281,-3.7917078
lozoyuela-navas-sieteiglesias,"Lozoyuela-Navas-Sieteiglesias, Comunidad de Madrid, España",40.9263383,-3.6176377
madarcos,"Madarcos, Comunidad de Madrid, España",41.0477311,-3.5821549
madrid,"Madrid, Comunidad de Madrid, España",40.4167047,-3.7035825
majadahonda,"Majadahonda, Comunidad de Madrid, España",40.473055,-3.8724138
manzanares-el-real,"Manzanares el Real, Comunidad de Madrid, 28410, España",40.7267632,-3.864981
meco,"Meco, Comunidad de Madrid, 28880, España",40.553746,-3.3281561
mejorada-del-campo,"Mejorada del Campo, Comunidad de Madrid, 28840, España",40.3971785,-3.4896068
miraflores-de-la-sierra,"Miraflores de la Sierra, Comunidad de Madrid, España",40.8137532,-3.7667236
molar-el,"El Molar, Comunidad de Madrid, 28710, España",40.7347865,-3.584376
molinos-los,"Molinos Los, Qda Chiguasa, UPZ Marruecos, Localidad Rafael Uribe Uribe, Bogotá, Bogotá Distrito Capital - Municipio, RAP (Especial) Central, 111831, Colombia",4.55,-74.1166667
montejo-de-la-sierra,"Montejo de la Sierra, Comunidad de Madrid, España",41.0593529,-3.530299
moraleja-de-enmedio,"Moraleja de Enmedio, Comunidad de Madrid, 28950, España",40.2615532,-3.8612117
moralzarzal,"Moralzarzal, Comunidad de Madrid, 28411, España",40.6791436,-3.9720985
morata-de-tajuna,"Morata de Tajuña, Comunidad de Madrid, 28530, España",40.2294297,-3.4366925
mostoles,"Móstoles, Comunidad de Madrid, España",40.3238525,-3.8649214
navacerrada,"Navacerrada, Comunidad de Madrid, 28491, España",40.7287926,-4.0151676
navalafuente,"Navalafuente, Comunidad de Madrid, España",40.8232617,-3.6747292
navalagamella,"Navalagamella, Comunidad de Madrid, 28212, España",40.4690591,-4.1227079
navalcarnero,"Navalcarnero, Comunidad de Madrid, 28600, España",40.2877169,-4.014299
navarredonda-y-san-mames,"Navarredonda y San Mamés, Comunidad de Madrid, 28739, España",41.00736645,-3.7315049706950285
navas-del-rey,"Navas del Rey, Comunidad de Madrid, 28695, España",40.3863666,-4.2508402
nuevo-baztan,"Nuevo Baztán, Comunidad de Madrid, 28514, España",40.3659255,-3.2443102
olmeda-de-las-fuentes,"Olmeda de las Fuentes, Comunidad de Madrid, 28515, España",40.3695225,-3.2213199
orusco-de-tajuna,"Orusco de Tajuña, Comunidad de Madrid, 28570, España",40.2853409,-3.2096521
paracuellos-de-jarama,"Paracuellos de Jarama, Comunidad de Madrid, 28860, España",40.5048527,-3.5317621
parla,"Parla, Comunidad de Madrid, España",40.2373952,-3.7718902
patones,"Patones, Comunidad de Madrid, España",40.8548194,-3.483954
pedrezuela,"Pedrezuela, Comunidad de Madrid, 28723, España",40.7451088,-3.6030185
pelayos-de-la-presa,"Pelayos de la Presa, Comunidad de Madrid, 28696, España",40.3605272,-4.3334254
perales-de-tajuna,"Perales de Tajuña, Comunidad de Madrid, 28540, España",40.2325718,-3.3517265
pezuela-de-las-torres,"Pezuela de las Torres, Comunidad de Madrid, 28812, España",40.4186483,-3.1778029
pinilla-del-valle,"Pinilla del Valle, Comunidad de Madrid, 28749, España",40.9261949,-3.8184676
pinto,"Pinto, Comunidad de Madrid, 28320, España",40.240985,-3.7005072
pinuecar-gandullas,"Piñuécar-Gandullas, Comunidad de Madrid, España",41.03554635,-3.599475586218161
